具体型号,型批型号,品牌,kg量程,台面尺寸,材质,细分品种,防爆,g分度值
AWBR-S-150-4050,TCS-150kg,AW,150,400x500,S,电子台秤,0,50
AWBR-HC-150-4050,TCS-150kg,AW,150,400x500,HC,高精度电子台秤,0,20
AWBR-HS-150-4050,TCS-150kg,AW,150,400x500,HS,高精度电子台秤,0,20
AWBR-C-150-4660,TCS-150kg,AW,150,460x600,C,电子台秤,0,50
AWBR-S-150-4660,TCS-150kg,AW,150,460x600,S,电子台秤,0,50
AWBR-HC-150-4660,TCS-150kg,AW,150,460x600,HC,高精度电子台秤,0,20
AWBR-HS-150-4660,TCS-150kg,AW,150,460x600,HS,高精度电子台秤,0,20
AWBR-C-150-5060,TCS-150kg,AW,150,500x600,C,电子台秤,0,50
AWBR-S-150-5060,TCS-150kg,AW,150,500x600,S,电子台秤,0,50
AWBR-HC-150-5060,TCS-150kg,AW,150,500x600,HC,高精度电子台秤,0,20
AWBR-HS-150-5060,TCS-150kg,AW,150,500x600,HS,高精度电子台秤,0,20
AWBR-C-150-4050-E,TCS-150kg EX,AW,150,400x500,C,电子台秤,1,50
AWBR-S-150-4050-E,TCS-150kg EX,AW,150,400x500,S,电子台秤,1,50
AWBR-HC-150-4050-E,TCS-150kg EX,AW,150,400x500,HC,高精度电子台秤,1,20
AWBR-HS-150-4050-E,TCS-150kg EX,AW,150,400x500,HS,高精度电子台秤,1,20
AWBR-C-150-4660-E,TCS-150kg EX,AW,150,460x600,C,电子台秤,1,50
AWBR-S-150-4660-E,TCS-150kg EX,AW,150,460x600,S,电子台秤,1,50
AWBR-HC-150-4660-E,TCS-150kg EX,AW,150,460x600,HC,高精度电子台秤,1,20
AWBR-HS-150-4660-E,TCS-150kg EX,AW,150,460x600,HS,高精度电子台秤,1,20
AWBR-C-150-5060-E,TCS-150kg EX,AW,150,500x600,C,电子台秤,1,50
AWBR-S-150-5060-E,TCS-150kg EX,AW,150,500x600,S,电子台秤,1,50
AWBR-HC-150-5060-E,TCS-150kg EX,AW,150,500x600,HC,高精度电子台秤,1,20
AWBR-HS-150-5060-E,TCS-150kg EX,AW,150,500x600,HS,高精度电子台秤,1,20
AWBR-C-300-4660,TCS-300kg,AW,300,460x600,C,电子台秤,0,100
AWBR-S-300-4660,TCS-300kg,AW,300,460x600,S,电子台秤,0,100
AWBR-HC-300-4660,TCS-300kg,AW,300,460x600,HC,高精度电子台秤,0,50
AWBR-HS-300-4660,TCS-300kg,AW,300,460x600,HS,高精度电子台秤,0,50
AWBR-C-300-5060,TCS-300kg,AW,300,500x600,C,电子台秤,0,100
AWBR-S-300-5060,TCS-300kg,AW,300,500x600,S,电子台秤,0,100
AWBR-HC-300-5060,TCS-300kg,AW,300,500x600,HC,高精度电子台秤,0,50
AWBR-HS-300-5060,TCS-300kg,AW,300,500x600,HS,高精度电子台秤,0,50
AWBR-C-300-6080,TCS-300kg,AW,300,600x800,C,电子台秤,0,100
AWBR-S-300-6080,TCS-300kg,AW,300,600x800,S,电子台秤,0,100
AWBR-HC-300-6080,TCS-300kg,AW,300,600x800,HC,高精度电子台秤,0,50
AWBR-HS-300-6080,TCS-300kg,AW,300,600x800,HS,高精度电子台秤,0,50
AWBR-C-300-4660-E,TCS-300kg EX,AW,300,460x600,C,电子台秤,1,100
AWBR-S-300-4660-E,TCS-300kg EX,AW,300,460x600,S,电子台秤,1,100
AWBR-HC-300-4660-E,TCS-300kg EX,AW,300,460x600,HC,高精度电子台秤,1,50
AWBR-HS-300-4660-E,TCS-300kg EX,AW,300,460x600,HS,高精度电子台秤,1,50
AWBR-C-300-5060-E,TCS-300kg EX,AW,300,500x600,C,电子台秤,1,100
AWBR-S-300-5060-E,TCS-300kg EX,AW,300,500x600,S,电子台秤,1,100
AWBR-HC-300-5060-E,TCS-300kg EX,AW,300,500x600,HC,高精度电子台秤,1,50
AWBR-HS-300-5060-E,TCS-300kg EX,AW,300,500x600,HS,高精度电子台秤,1,50
AWBR-C-300-6080-E,TCS-300kg EX,AW,300,600x800,C,电子台秤,1,100
AWBR-S-300-6080-E,TCS-300kg EX,AW,300,600x800,S,电子台秤,1,100
AWBR-HC-300-6080-E,TCS-300kg EX,AW,300,600x800,HC,高精度电子台秤,1,50
AWBR-HS-300-6080-E,TCS-300kg EX,AW,300,600x800,HS,高精度电子台秤,1,50
AWBR-C-600-5060,TCS-600kg,AW,600,500x600,C,电子台秤,0,200
AWBR-S-600-5060,TCS-600kg,AW,600,500x600,S,电子台秤,0,200
AWBR-HC-600-5060,TCS-600kg,AW,600,500x600,HC,高精度电子台秤,0,100
AWBR-HS-600-5060,TCS-600kg,AW,600,500x600,HS,高精度电子台秤,0,100
AWBR-C-600-6080,TCS-600kg,AW,600,600x800,C,电子台秤,0,200
AWBR-S-600-6080,TCS-600kg,AW,600,600x800,S,电子台秤,0,200
AWBR-HC-600-6080,TCS-600kg,AW,600,600x800,HC,高精度电子台秤,0,100
AWBR-HS-600-6080,TCS-600kg,AW,600,600x800,HS,高精度电子台秤,0,100
AWBR-C-600-5060-E,TCS-600kg EX,AW,600,500x600,C,电子台秤,1,200
AWBR-S-600-5060-E,TCS-600kg EX,AW,600,500x600,S,电子台秤,1,200
AWBR-HC-600-5060-E,TCS-600kg EX,AW,600,500x600,HC,高精度电子台秤,1,100
AWBR-HS-600-5060-E,TCS-600kg EX,AW,600,500x600,HS,高精度电子台秤,1,100
AWBR-C-600-6080-E,TCS-600kg EX,AW,600,600x800,C,电子台秤,1,200
AWBR-S-600-6080-E,TCS-600kg EX,AW,600,600x800,S,电子台秤,1,200
AWBR-HC-600-6080-E,TCS-600kg EX,AW,600,600x800,HC,高精度电子台秤,1,100
AWBR-HS-600-6080-E,TCS-600kg EX,AW,600,600x800,HS,高精度电子台秤,1,100
