具体型号,型批型号,品牌,kg量程,台面尺寸,可用传感器,材质,细分品种,防爆,kg分度值,信号协议
FTPD-HCS-030-2020-N,SCS-3t,FT,3000,2000x2000,SB14-2268kg,HCS,高精度平台秤,0,0.5,A
FTPD-HC-030-2020-E,SCS-3t EX,FT,3000,2000x2000,SB14-2268kg,HC,高精度平台秤,1,0.5,A
FTPD-HS-030-2020-E,SCS-3t EX,FT,3000,2000x2000,SB14-2268kg,HS,高精度平台秤,1,0.5,A
FTPD-HCS-030-2020-E,SCS-3t EX,FT,3000,2000x2000,SB14-2268kg,HCS,高精度平台秤,1,0.5,A
FTPD-HC-060-2020-N,SCS-6t,FT,6000,2000x2000,SLB-3000kg|SB14-3000kg,HC,高精度平台秤,0,1,A
FTPD-HS-060-2020-N,SCS-6t,FT,6000,2000x2000,SLB-3000kg|SB14-3000kg,HS,高精度平台秤,0,1,A
FTPD-HCS-060-2020-N,SCS-6t,FT,6000,2000x2000,SLB-3000kg|SB14-3000kg,HCS,高精度平台秤,0,1,A
FTPD-HC-060-2020-E,SCS-6t EX,FT,6000,2000x2000,SLB-3000kg|SB14-3000kg,HC,高精度平台秤,1,1,A
FTPD-HS-060-2020-E,SCS-6t EX,FT,6000,2000x2000,SLB-3000kg|SB14-3000kg,HS,高精度平台秤,1,1,A
FTPD-HCS-060-2020-E,SCS-6t EX,FT,6000,2000x2000,SLB-3000kg|SB14-3000kg,HCS,高精度平台秤,1,1,A
AWPD-C-003-0606-N,SCS-0.3t,AW,300,600x600,AWB-200kg,C,护框型电子平台秤,0,0.1,A
AWPD-C-003-0606-E,SCS-0.3t EX,AW,300,600x600,AWB-200kg,C,护框型电子平台秤,1,0.1,A
AWPD-S-003-0606-N,SCS-0.3t,AW,300,600x600,AWBS-200kg,S,护框型电子平台秤,0,0.1,A
AWPD-S-003-0606-E,SCS-0.3t EX,AW,300,600x600,AWBS-200kg,S,护框型电子平台秤,1,0.1,A
AWPD-C-003-0808-N,SCS-0.3t,AW,300,800x800,AWB-200kg,C,护框型电子平台秤,0,0.1,A
AWPD-C-003-0808-E,SCS-0.3t EX,AW,300,800x800,AWB-200kg,C,护框型电子平台秤,1,0.1,A
AWPD-S-003-0808-N,SCS-0.3t,AW,300,800x800,AWBS-200kg,S,护框型电子平台秤,0,0.1,A
AWPD-S-003-0808-E,SCS-0.3t EX,AW,300,800x800,AWBS-200kg,S,护框型电子平台秤,1,0.1,A
AWPD-C-006-0606-N,SCS-0.6t,AW,600,600x600,AWB-500kg,C,护框型电子平台秤,0,0.2,A
AWPD-C-006-0606-E,SCS-0.6t EX,AW,600,600x600,AWB-500kg,C,护框型电子平台秤,1,0.2,A
AWPD-S-006-0606-N,SCS-0.6t,AW,600,600x600,AWBS-500kg,S,护框型电子平台秤,0,0.2,A
AWPD-S-006-0606-E,SCS-0.6t EX,AW,600,600x600,AWBS-500kg,S,护框型电子平台秤,1,0.2,A
AWPD-C-006-0808-N,SCS-0.6t,AW,600,800x800,AWB-500kg,C,护框型电子平台秤,0,0.2,A
AWPD-C-006-0808-E,SCS-0.6t EX,AW,600,800x800,AWB-500kg,C,护框型电子平台秤,1,0.2,A
AWPD-S-006-0808-N,SCS-0.6t,AW,600,800x800,AWBS-500kg,S,护框型电子平台秤,0,0.2,A
AWPD-S-006-0808-E,SCS-0.6t EX,AW,600,800x800,AWBS-500kg,S,护框型电子平台秤,1,0.2,A
AWPD-C-006-1010-N,SCS-0.6t,AW,600,1000x1000,AWB-500kg,C,护框型电子平台秤,0,0.2,A
AWPD-C-006-1010-E,SCS-0.6t EX,AW,600,1000x1000,AWB-500kg,C,护框型电子平台秤,1,0.2,A
AWPD-S-006-1010-N,SCS-0.6t,AW,600,1000x1000,AWBS-500kg,S,护框型电子平台秤,0,0.2,A
AWPD-S-006-1010-E,SCS-0.6t EX,AW,600,1000x1000,AWBS-500kg,S,护框型电子平台秤,1,0.2,A
AWPD-C-015-1010-N,SCS-1.5t,AW,1500,1000x1000,AWB-1t,C,护框型电子平台秤,0,1,A
AWPD-C-015-1010-E,SCS-1.5t EX,AW,1500,1000x1000,AWB-1t,C,护框型电子平台秤,1,1,A
AWPD-S-015-1010-N,SCS-1.5t,AW,1500,1000x1000,AWBS-1t,S,护框型电子平台秤,0,1,A
AWPD-S-015-1010-E,SCS-1.5t EX,AW,1500,1000x1000,AWBS-1t,S,护框型电子平台秤,1,1,A
AWPD-C-015-1212-N,SCS-1.5t,AW,1500,1200x1200,AWB-1t,C,护框型电子平台秤,0,1,A
AWPD-C-015-1212-E,SCS-1.5t EX,AW,1500,1200x1200,AWB-1t,C,护框型电子平台秤,1,1,A
AWPD-S-015-1212-N,SCS-1.5t,AW,1500,1200x1200,AWBS-1t,S,护框型电子平台秤,0,1,A
AWPD-S-015-1212-E,SCS-1.5t EX,AW,1500,1200x1200,AWBS-1t,S,护框型电子平台秤,1,1,A
AWPD-C-015-1515-N,SCS-1.5t,AW,1500,1500x1500,AWB-1t,C,护框型电子平台秤,0,1,A
AWPD-C-015-1515-E,SCS-1.5t EX,AW,1500,1500x1500,AWB-1t,C,护框型电子平台秤,1,1,A
AWPD-S-015-1515-N,SCS-1.5t,AW,1500,1500x1500,AWBS-1t,S,护框型电子平台秤,0,1,A
AWPD-S-015-1515-E,SCS-1.5t EX,AW,1500,1500x1500,AWBS-1t,S,护框型电子平台秤,1,1,A
AWPD-C-010-1010-N,SCS-1t,AW,1000,1000x1000,AWB-1t,C,护框型电子平台秤,0,1,A
AWPD-C-010-1010-E,SCS-1t EX,AW,1000,1000x1000,AWB-1t,C,护框型电子平台秤,1,1,A
AWPD-S-010-1010-N,SCS-1t,AW,1000,1000x1000,AWBS-1t,S,护框型电子平台秤,0,1,A
AWPD-S-010-1010-E,SCS-1t EX,AW,1000,1000x1000,AWBS-1t,S,护框型电子平台秤,1,1,A
AWPD-C-010-1212-N,SCS-1t,AW,1000,1200x1200,AWB-1t,C,护框型电子平台秤,0,1,A
AWPD-C-010-1212-E,SCS-1t EX,AW,1000,1200x1200,AWB-1t,C,护框型电子平台秤,1,1,A
AWPD-S-010-1212-N,SCS-1t,AW,1000,1200x1200,AWBS-1t,S,护框型电子平台秤,0,1,A
AWPD-S-010-1212-E,SCS-1t EX,AW,1000,1200x1200,AWBS-1t,S,护框型电子平台秤,1,1,A
AWPD-C-010-1515-N,SCS-1t,AW,1000,1500x1500,AWB-1t,C,护框型电子平台秤,0,1,A
AWPD-C-010-1515-E,SCS-1t EX,AW,1000,1500x1500,AWB-1t,C,护框型电子平台秤,1,1,A
AWPD-S-010-1515-N,SCS-1t,AW,1000,1500x1500,AWBS-1t,S,护框型电子平台秤,0,1,A
AWPD-S-010-1515-E,SCS-1t EX,AW,1000,1500x1500,AWBS-1t,S,护框型电子平台秤,1,1,A
AWPD-C-020-1010-N,SCS-2t,AW,2000,1000x1000,AWB-1t,C,护框型电子平台秤,0,1,A
AWPD-C-020-1010-E,SCS-2t EX,AW,2000,1000x1000,AWB-1t,C,护框型电子平台秤,1,1,A
AWPD-S-020-1010-N,SCS-2t,AW,2000,1000x1000,AWBS-1t,S,护框型电子平台秤,0,1,A
AWPD-S-020-1010-E,SCS-2t EX,AW,2000,1000x1000,AWBS-1t,S,护框型电子平台秤,1,1,A
AWPD-C-020-1212-N,SCS-2t,AW,2000,1200x1200,AWB-1t,C,护框型电子平台秤,0,1,A
AWPD-C-020-1212-E,SCS-2t EX,AW,2000,1200x1200,AWB-1t,C,护框型电子平台秤,1,1,A
AWPD-S-020-1212-N,SCS-2t,AW,2000,1200x1200,AWBS-1t,S,护框型电子平台秤,0,1,A
AWPD-S-020-1212-E,SCS-2t EX,AW,2000,1200x1200,AWBS-1t,S,护框型电子平台秤,1,1,A
AWPD-C-020-1515-N,SCS-2t,AW,2000,1500x1500,AWB-1t,C,护框型电子平台秤,0,1,A
AWPD-C-020-1515-E,SCS-2t EX,AW,2000,1500x1500,AWB-1t,C,护框型电子平台秤,1,1,A
AWPD-S-020-1515-N,SCS-2t,AW,2000,1500x1500,AWBS-1t,S,护框型电子平台秤,0,1,A
AWPD-S-020-1515-E,SCS-2t EX,AW,2000,1500x1500,AWBS-1t,S,护框型电子平台秤,1,1,A
AWPD-C-030-1212-N,SCS-3t,AW,3000,1200x1200,AWB-2t,C,护框型电子平台秤,0,1,A
AWPD-C-030-1212-E,SCS-3t EX,AW,3000,1200x1200,AWB-2t,C,护框型电子平台秤,1,1,A
AWPD-S-030-1212-N,SCS-3t,AW,3000,1200x1200,AWBS-2t,S,护框型电子平台秤,0,1,A
AWPD-S-030-1212-E,SCS-3t EX,AW,3000,1200x1200,AWBS-2t,S,护框型电子平台秤,1,1,A
AWPD-C-030-1515-N,SCS-3t,AW,3000,1500x1500,AWB-2t,C,护框型电子平台秤,0,1,A
AWPD-C-030-1515-E,SCS-3t EX,AW,3000,1500x1500,AWB-2t,C,护框型电子平台秤,1,1,A
AWPD-S-030-1515-N,SCS-3t,AW,3000,1500x1500,AWBS-2t,S,护框型电子平台秤,0,1,A
AWPD-S-030-1515-E,SCS-3t EX,AW,3000,1500x1500,AWBS-2t,S,护框型电子平台秤,1,1,A
AWPD-C-030-2020-N,SCS-3t,AW,3000,2000x2000,AWB-2t,C,护框型电子平台秤,0,1,A
AWPD-C-030-2020-E,SCS-3t EX,AW,3000,2000x2000,AWB-2t,C,护框型电子平台秤,1,1,A
AWPD-S-030-2020-N,SCS-3t,AW,3000,2000x2000,AWBS-2t,S,护框型电子平台秤,0,1,A
AWPD-S-030-2020-E,SCS-3t EX,AW,3000,2000x2000,AWBS-2t,S,护框型电子平台秤,1,1,A
AWPD-C-060-2020-N,SCS-6t,AW,6000,2000x2000,AWB-3t,C,护框型电子平台秤,0,2,A
AWPD-C-060-2020-E,SCS-6t EX,AW,6000,2000x2000,AWB-3t,C,护框型电子平台秤,1,2,A
AWPD-S-060-2020-N,SCS-6t,AW,6000,2000x2000,AWBS-3t,S,护框型电子平台秤,0,2,A
AWPD-S-060-2020-E,SCS-6t EX,AW,6000,2000x2000,AWBS-3t,S,护框型电子平台秤,1,2,A
AWPD-CS-003-0606-N,SCS-0.3t,AW,300,600x600,AWB-200kg,CS,护框型电子平台秤,0,0.1,A
AWPD-CS-003-0606-E,SCS-0.3t EX,AW,300,600x600,AWB-200kg,CS,护框型电子平台秤,1,0.1,A
AWPD-CS-003-0808-N,SCS-0.3t,AW,300,800x800,AWB-200kg,CS,护框型电子平台秤,0,0.1,A
AWPD-CS-003-0808-E,SCS-0.3t EX,AW,300,800x800,AWB-200kg,CS,护框型电子平台秤,1,0.1,A
AWPD-CS-006-0606-N,SCS-0.6t,AW,600,600x600,AWB-500kg,CS,护框型电子平台秤,0,0.2,A
AWPD-CS-006-0606-E,SCS-0.6t EX,AW,600,600x600,AWB-500kg,CS,护框型电子平台秤,1,0.2,A
AWPD-CS-006-0808-N,SCS-0.6t,AW,600,800x800,AWB-500kg,CS,护框型电子平台秤,0,0.2,A
AWPD-CS-006-0808-E,SCS-0.6t EX,AW,600,800x800,AWB-500kg,CS,护框型电子平台秤,1,0.2,A
AWPD-CS-006-1010-N,SCS-0.6t,AW,600,1000x1000,AWB-500kg,CS,护框型电子平台秤,0,0.2,A
AWPD-CS-006-1010-E,SCS-0.6t EX,AW,600,1000x1000,AWB-500kg,CS,护框型电子平台秤,1,0.2,A
AWPD-CS-015-1010-N,SCS-1.5t,AW,1500,1000x1000,AWB-1t,CS,护框型电子平台秤,0,1,A
AWPD-CS-015-1010-E,SCS-1.5t EX,AW,1500,1000x1000,AWB-1t,CS,护框型电子平台秤,1,1,A
AWPD-CS-015-1212-N,SCS-1.5t,AW,1500,1200x1200,AWB-1t,CS,护框型电子平台秤,0,1,A
AWPD-CS-015-1212-E,SCS-1.5t EX,AW,1500,1200x1200,AWB-1t,CS,护框型电子平台秤,1,1,A
AWPD-CS-015-1515-N,SCS-1.5t,AW,1500,1500x1500,AWB-1t,CS,护框型电子平台秤,0,1,A
AWPD-CS-015-1515-E,SCS-1.5t EX,AW,1500,1500x1500,AWB-1t,CS,护框型电子平台秤,1,1,A
AWPD-CS-010-1010-N,SCS-1t,AW,1000,1000x1000,AWB-1t,CS,护框型电子平台秤,0,1,A
AWPD-CS-010-1010-E,SCS-1t EX,AW,1000,1000x1000,AWB-1t,CS,护框型电子平台秤,1,1,A
AWPD-CS-010-1212-N,SCS-1t,AW,1000,1200x1200,AWB-1t,CS,护框型电子平台秤,0,1,A
AWPD-CS-010-1212-E,SCS-1t EX,AW,1000,1200x1200,AWB-1t,CS,护框型电子平台秤,1,1,A
AWPD-CS-010-1515-N,SCS-1t,AW,1000,1500x1500,AWB-1t,CS,护框型电子平台秤,0,1,A
AWPD-CS-010-1515-E,SCS-1t EX,AW,1000,1500x1500,AWB-1t,CS,护框型电子平台秤,1,1,A
AWPD-CS-020-1010-N,SCS-2t,AW,2000,1000x1000,AWB-1t,CS,护框型电子平台秤,0,1,A
AWPD-CS-020-1010-E,SCS-2t EX,AW,2000,1000x1000,AWB-1t,CS,护框型电子平台秤,1,1,A
AWPD-CS-020-1212-N,SCS-2t,AW,2000,1200x1200,AWB-1t,CS,护框型电子平台秤,0,1,A
AWPD-CS-020-1212-E,SCS-2t EX,AW,2000,1200x1200,AWB-1t,CS,护框型电子平台秤,1,1,A
AWPD-CS-020-1515-N,SCS-2t,AW,2000,1500x1500,AWB-1t,CS,护框型电子平台秤,0,1,A
AWPD-CS-020-1515-E,SCS-2t EX,AW,2000,1500x1500,AWB-1t,CS,护框型电子平台秤,1,1,A
AWPD-CS-030-1212-N,SCS-3t,AW,3000,1200x1200,AWB-2t,CS,护框型电子平台秤,0,1,A
AWPD-CS-030-1212-E,SCS-3t EX,AW,3000,1200x1200,AWB-2t,CS,护框型电子平台秤,1,1,A
AWPD-CS-030-1515-N,SCS-3t,AW,3000,1500x1500,AWB-2t,CS,护框型电子平台秤,0,1,A
AWPD-CS-030-1515-E,SCS-3t EX,AW,3000,1500x1500,AWB-2t,CS,护框型电子平台秤,1,1,A
AWPD-CS-030-2020-N,SCS-3t,AW,3000,2000x2000,AWB-2t,CS,护框型电子平台秤,0,1,A
AWPD-CS-030-2020-E,SCS-3t EX,AW,3000,2000x2000,AWB-2t,CS,护框型电子平台秤,1,1,A
AWPD-CS-060-2020-N,SCS-6t,AW,6000,2000x2000,AWB-3t,CS,护框型电子平台秤,0,2,A
AWPD-CS-060-2020-E,SCS-6t EX,AW,6000,2000x2000,AWB-3t,CS,护框型电子平台秤,1,2,A
AWPD-HC-003-0606-N,SCS-0.3t,AW,300,600x600,AWBS-200kg,HC,高精度平台秤,0,0.05,A
AWPD-HS-003-0606-N,SCS-0.3t,AW,300,600x600,AWBS-200kg,HS,高精度平台秤,0,0.05,A
AWPD-HCS-003-0606-N,SCS-0.3t,AW,300,600x600,AWBS-200kg,HCS,高精度平台秤,0,0.05,A
AWPD-HC-003-0606-E,SCS-0.3t EX,AW,300,600x600,AWBS-200kg,HC,高精度平台秤,1,0.05,A
AWPD-HS-003-0606-E,SCS-0.3t EX,AW,300,600x600,AWBS-200kg,HS,高精度平台秤,1,0.05,A
AWPD-HCS-003-0606-E,SCS-0.3t EX,AW,300,600x600,AWBS-200kg,HCS,高精度平台秤,1,0.05,A
AWPD-HC-003-0808-N,SCS-0.3t,AW,300,800x800,AWBS-200kg,HC,高精度平台秤,0,0.05,A
AWPD-HS-003-0808-N,SCS-0.3t,AW,300,800x800,AWBS-200kg,HS,高精度平台秤,0,0.05,A
AWPD-HCS-003-0808-N,SCS-0.3t,AW,300,800x800,AWBS-200kg,HCS,高精度平台秤,0,0.05,A
AWPD-HC-003-0808-E,SCS-0.3t EX,AW,300,800x800,AWBS-200kg,HC,高精度平台秤,1,0.05,A
AWPD-HS-003-0808-E,SCS-0.3t EX,AW,300,800x800,AWBS-200kg,HS,高精度平台秤,1,0.05,A
AWPD-HCS-003-0808-E,SCS-0.3t EX,AW,300,800x800,AWBS-200kg,HCS,高精度平台秤,1,0.05,A
AWPD-HC-006-0606-N,SCS-0.6t,AW,600,600x600,AWBS-500kg,HC,高精度平台秤,0,0.1,A
AWPD-HS-006-0606-N,SCS-0.6t,AW,600,600x600,AWBS-500kg,HS,高精度平台秤,0,0.1,A
AWPD-HCS-006-0606-N,SCS-0.6t,AW,600,600x600,AWBS-500kg,HCS,高精度平台秤,0,0.1,A
AWPD-HC-006-0606-E,SCS-0.6t EX,AW,600,600x600,AWBS-500kg,HC,高精度平台秤,1,0.1,A
AWPD-HS-006-0606-E,SCS-0.6t EX,AW,600,600x600,AWBS-500kg,HS,高精度平台秤,1,0.1,A
AWPD-HCS-006-0606-E,SCS-0.6t EX,AW,600,600x600,AWBS-500kg,HCS,高精度平台秤,1,0.1,A
AWPD-HC-006-0808-N,SCS-0.6t,AW,600,800x800,AWBS-500kg,HC,高精度平台秤,0,0.1,A
AWPD-HS-006-0808-N,SCS-0.6t,AW,600,800x800,AWBS-500kg,HS,高精度平台秤,0,0.1,A
AWPD-HCS-006-0808-N,SCS-0.6t,AW,600,800x800,AWBS-500kg,HCS,高精度平台秤,0,0.1,A
AWPD-HC-006-0808-E,SCS-0.6t EX,AW,600,800x800,AWBS-500kg,HC,高精度平台秤,1,0.1,A
AWPD-HS-006-0808-E,SCS-0.6t EX,AW,600,800x800,AWBS-500kg,HS,高精度平台秤,1,0.1,A
AWPD-HCS-006-0808-E,SCS-0.6t EX,AW,600,800x800,AWBS-500kg,HCS,高精度平台秤,1,0.1,A
AWPD-HC-006-1010-N,SCS-0.6t,AW,600,1000x1000,AWBS-500kg,HC,高精度平台秤,0,0.1,A
AWPD-HS-006-1010-N,SCS-0.6t,AW,600,1000x1000,AWBS-500kg,HS,高精度平台秤,0,0.1,A
AWPD-HCS-006-1010-N,SCS-0.6t,AW,600,1000x1000,AWBS-500kg,HCS,高精度平台秤,0,0.1,A
AWPD-HC-006-1010-E,SCS-0.6t EX,AW,600,1000x1000,AWBS-500kg,HC,高精度平台秤,1,0.1,A
AWPD-HS-006-1010-E,SCS-0.6t EX,AW,600,1000x1000,AWBS-500kg,HS,高精度平台秤,1,0.1,A
AWPD-HCS-006-1010-E,SCS-0.6t EX,AW,600,1000x1000,AWBS-500kg,HCS,高精度平台秤,1,0.1,A
AWPD-HC-015-1010-N,SCS-1.5t,AW,1500,1000x1000,AWBS-1t,HC,高精度平台秤,0,0.5,A
AWPD-HS-015-1010-N,SCS-1.5t,AW,1500,1000x1000,AWBS-1t,HS,高精度平台秤,0,0.5,A
AWPD-HCS-015-1010-N,SCS-1.5t,AW,1500,1000x1000,AWBS-1t,HCS,高精度平台秤,0,0.5,A
AWPD-HC-015-1010-E,SCS-1.5t EX,AW,1500,1000x1000,AWBS-1t,HC,高精度平台秤,1,0.5,A
AWPD-HS-015-1010-E,SCS-1.5t EX,AW,1500,1000x1000,AWBS-1t,HS,高精度平台秤,1,0.5,A
AWPD-HCS-015-1010-E,SCS-1.5t EX,AW,1500,1000x1000,AWBS-1t,HCS,高精度平台秤,1,0.5,A
AWPD-HC-015-1212-N,SCS-1.5t,AW,1500,1200x1200,AWBS-1t,HC,高精度平台秤,0,0.5,A
AWPD-HS-015-1212-N,SCS-1.5t,AW,1500,1200x1200,AWBS-1t,HS,高精度平台秤,0,0.5,A
AWPD-HCS-015-1212-N,SCS-1.5t,AW,1500,1200x1200,AWBS-1t,HCS,高精度平台秤,0,0.5,A
AWPD-HC-015-1212-E,SCS-1.5t EX,AW,1500,1200x1200,AWBS-1t,HC,高精度平台秤,1,0.5,A
AWPD-HS-015-1212-E,SCS-1.5t EX,AW,1500,1200x1200,AWBS-1t,HS,高精度平台秤,1,0.5,A
AWPD-HCS-015-1212-E,SCS-1.5t EX,AW,1500,1200x1200,AWBS-1t,HCS,高精度平台秤,1,0.5,A
AWPD-HC-015-1515-N,SCS-1.5t,AW,1500,1500x1500,AWBS-1t,HC,高精度平台秤,0,0.5,A
AWPD-HS-015-1515-N,SCS-1.5t,AW,1500,1500x1500,AWBS-1t,HS,高精度平台秤,0,0.5,A
AWPD-HCS-015-1515-N,SCS-1.5t,AW,1500,1500x1500,AWBS-1t,HCS,高精度平台秤,0,0.5,A
AWPD-HC-015-1515-E,SCS-1.5t EX,AW,1500,1500x1500,AWBS-1t,HC,高精度平台秤,1,0.5,A
AWPD-HS-015-1515-E,SCS-1.5t EX,AW,1500,1500x1500,AWBS-1t,HS,高精度平台秤,1,0.5,A
AWPD-HCS-015-1515-E,SCS-1.5t EX,AW,1500,1500x1500,AWBS-1t,HCS,高精度平台秤,1,0.5,A
AWPD-HC-010-1010-N,SCS-1t,AW,1000,1000x1000,AWBS-1t,HC,高精度平台秤,0,0.5,A
AWPD-HS-010-1010-N,SCS-1t,AW,1000,1000x1000,AWBS-1t,HS,高精度平台秤,0,0.5,A
AWPD-HCS-010-1010-N,SCS-1t,AW,1000,1000x1000,AWBS-1t,HCS,高精度平台秤,0,0.5,A
AWPD-HC-010-1010-E,SCS-1t EX,AW,1000,1000x1000,AWBS-1t,HC,高精度平台秤,1,0.5,A
AWPD-HS-010-1010-E,SCS-1t EX,AW,1000,1000x1000,AWBS-1t,HS,高精度平台秤,1,0.5,A
AWPD-HCS-010-1010-E,SCS-1t EX,AW,1000,1000x1000,AWBS-1t,HCS,高精度平台秤,1,0.5,A
AWPD-HC-010-1212-N,SCS-1t,AW,1000,1200x1200,AWBS-1t,HC,高精度平台秤,0,0.5,A
AWPD-HS-010-1212-N,SCS-1t,AW,1000,1200x1200,AWBS-1t,HS,高精度平台秤,0,0.5,A
AWPD-HCS-010-1212-N,SCS-1t,AW,1000,1200x1200,AWBS-1t,HCS,高精度平台秤,0,0.5,A
AWPD-HC-010-1212-E,SCS-1t EX,AW,1000,1200x1200,AWBS-1t,HC,高精度平台秤,1,0.5,A
AWPD-HS-010-1212-E,SCS-1t EX,AW,1000,1200x1200,AWBS-1t,HS,高精度平台秤,1,0.5,A
AWPD-HCS-010-1212-E,SCS-1t EX,AW,1000,1200x1200,AWBS-1t,HCS,高精度平台秤,1,0.5,A
AWPD-HC-010-1515-N,SCS-1t,AW,1000,1500x1500,AWBS-1t,HC,高精度平台秤,0,0.5,A
AWPD-HS-010-1515-N,SCS-1t,AW,1000,1500x1500,AWBS-1t,HS,高精度平台秤,0,0.5,A
AWPD-HCS-010-1515-N,SCS-1t,AW,1000,1500x1500,AWBS-1t,HCS,高精度平台秤,0,0.5,A
AWPD-HC-010-1515-E,SCS-1t EX,AW,1000,1500x1500,AWBS-1t,HC,高精度平台秤,1,0.5,A
AWPD-HS-010-1515-E,SCS-1t EX,AW,1000,1500x1500,AWBS-1t,HS,高精度平台秤,1,0.5,A
AWPD-HCS-010-1515-E,SCS-1t EX,AW,1000,1500x1500,AWBS-1t,HCS,高精度平台秤,1,0.5,A
AWPD-HC-020-1010-N,SCS-2t,AW,2000,1000x1000,AWBS-1t,HC,高精度平台秤,0,0.5,A
AWPD-HS-020-1010-N,SCS-2t,AW,2000,1000x1000,AWBS-1t,HS,高精度平台秤,0,0.5,A
AWPD-HCS-020-1010-N,SCS-2t,AW,2000,1000x1000,AWBS-1t,HCS,高精度平台秤,0,0.5,A
AWPD-HC-020-1010-E,SCS-2t EX,AW,2000,1000x1000,AWBS-1t,HC,高精度平台秤,1,0.5,A
AWPD-HS-020-1010-E,SCS-2t EX,AW,2000,1000x1000,AWBS-1t,HS,高精度平台秤,1,0.5,A
AWPD-HCS-020-1010-E,SCS-2t EX,AW,2000,1000x1000,AWBS-1t,HCS,高精度平台秤,1,0.5,A
AWPD-HC-020-1212-N,SCS-2t,AW,2000,1200x1200,AWBS-1t,HC,高精度平台秤,0,0.5,A
AWPD-HS-020-1212-N,SCS-2t,AW,2000,1200x1200,AWBS-1t,HS,高精度平台秤,0,0.5,A
AWPD-HCS-020-1212-N,SCS-2t,AW,2000,1200x1200,AWBS-1t,HCS,高精度平台秤,0,0.5,A
AWPD-HC-020-1212-E,SCS-2t EX,AW,2000,1200x1200,AWBS-1t,HC,高精度平台秤,1,0.5,A
AWPD-HS-020-1212-E,SCS-2t EX,AW,2000,1200x1200,AWBS-1t,HS,高精度平台秤,1,0.5,A
AWPD-HCS-020-1212-E,SCS-2t EX,AW,2000,1200x1200,AWBS-1t,HCS,高精度平台秤,1,0.5,A
AWPD-HC-020-1515-N,SCS-2t,AW,2000,1500x1500,AWBS-1t,HC,高精度平台秤,0,0.5,A
AWPD-HS-020-1515-N,SCS-2t,AW,2000,1500x1500,AWBS-1t,HS,高精度平台秤,0,0.5,A
AWPD-HCS-020-1515-N,SCS-2t,AW,2000,1500x1500,AWBS-1t,HCS,高精度平台秤,0,0.5,A
AWPD-HC-020-1515-E,SCS-2t EX,AW,2000,1500x1500,AWBS-1t,HC,高精度平台秤,1,0.5,A
AWPD-HS-020-1515-E,SCS-2t EX,AW,2000,1500x1500,AWBS-1t,HS,高精度平台秤,1,0.5,A
AWPD-HCS-020-1515-E,SCS-2t EX,AW,2000,1500x1500,AWBS-1t,HCS,高精度平台秤,1,0.5,A
AWPD-HC-030-1212-N,SCS-3t,AW,3000,1200x1200,AWBS-2t,HC,高精度平台秤,0,0.5,A
AWPD-HS-030-1212-N,SCS-3t,AW,3000,1200x1200,AWBS-2t,HS,高精度平台秤,0,0.5,A
AWPD-HCS-030-1212-N,SCS-3t,AW,3000,1200x1200,AWBS-2t,HCS,高精度平台秤,0,0.5,A
AWPD-HC-030-1212-E,SCS-3t EX,AW,3000,1200x1200,AWBS-2t,HC,高精度平台秤,1,0.5,A
AWPD-HS-030-1212-E,SCS-3t EX,AW,3000,1200x1200,AWBS-2t,HS,高精度平台秤,1,0.5,A
AWPD-HCS-030-1212-E,SCS-3t EX,AW,3000,1200x1200,AWBS-2t,HCS,高精度平台秤,1,0.5,A
AWPD-HC-030-1515-N,SCS-3t,AW,3000,1500x1500,AWBS-2t,HC,高精度平台秤,0,0.5,A
AWPD-HS-030-1515-N,SCS-3t,AW,3000,1500x1500,AWBS-2t,HS,高精度平台秤,0,0.5,A
AWPD-HCS-030-1515-N,SCS-3t,AW,3000,1500x1500,AWBS-2t,HCS,高精度平台秤,0,0.5,A
AWPD-HC-030-1515-E,SCS-3t EX,AW,3000,1500x1500,AWBS-2t,HC,高精度平台秤,1,0.5,A
AWPD-HS-030-1515-E,SCS-3t EX,AW,3000,1500x1500,AWBS-2t,HS,高精度平台秤,1,0.5,A
AWPD-HCS-030-1515-E,SCS-3t EX,AW,3000,1500x1500,AWBS-2t,HCS,高精度平台秤,1,0.5,A
AWPD-HC-030-2020-N,SCS-3t,AW,3000,2000x2000,AWBS-2t,HC,高精度平台秤,0,0.5,A
AWPD-HS-030-2020-N,SCS-3t,AW,3000,2000x2000,AWBS-2t,HS,高精度平台秤,0,0.5,A
AWPD-HCS-030-2020-N,SCS-3t,AW,3000,2000x2000,AWBS-2t,HCS,高精度平台秤,0,0.5,A
AWPD-HC-030-2020-E,SCS-3t EX,AW,3000,2000x2000,AWBS-2t,HC,高精度平台秤,1,0.5,A
AWPD-HS-030-2020-E,SCS-3t EX,AW,3000,2000x2000,AWBS-2t,HS,高精度平台秤,1,0.5,A
AWPD-HCS-030-2020-E,SCS-3t EX,AW,3000,2000x2000,AWBS-2t,HCS,高精度平台秤,1,0.5,A
AWPD-HC-060-2020-N,SCS-6t,AW,6000,2000x2000,AWBS-5t,HC,高精度平台秤,0,1,A
AWPD-HS-060-2020-N,SCS-6t,AW,6000,2000x2000,AWBS-5t,HS,高精度平台秤,0,1,A
AWPD-HCS-060-2020-N,SCS-6t,AW,6000,2000x2000,AWBS-5t,HCS,高精度平台秤,0,1,A
